Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Mensyva 100mg 30 Comprimidos Ache (C1);291.0;15;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Dimesilato de Lisdexanfetamina 70mg 30 Cápsulas Genérico Pharlab (A3);290.0;13;São João;7898216367634.0;Lisdexanfetamina 70mg 30 Cápsulas Genérico Pharlab  (A3);Disponível;367,49;254,90;-30.6%;254,90;-30.6%;Medicamentos > Sistema Nervoso Central > Antipsicóticos;10040433.0;https://www.saojoaofarmacias.com.br/lisdexanfetamina-70mg-30-capsulas-generico-pharlab---a3--10040433/p
Cloridrato De Nebivolol 5mg Genérico Pharlab 60 Comprimidos;290.0;14;São João;7896714205182.0;Cloridrato De Propranolol 40mg 30 Comprimidos Genérico Neo Química;Disponível;6,86;4,99;-27.3%;4,99;-27.3%;Medicamentos > Cardiológicos > Pressão Alta;1003137.0;https://www.saojoaofarmacias.com.br/cloridrato-de-propranolol-40mg-30-comprimidos-generico-neo-quimica-1003137/p
Percoide 40mg 7 Comprimidos Momenta;290.0;12;São João;7896714274645.0;Peridal Mantecorp 10mg 30 Comprimidos;Disponível;27,78;25,29;-9.0%;25,29;-9.0%;Medicamentos > Estômago E Gastrointestinais > Azia E Refluxo;1002526.0;https://www.saojoaofarmacias.com.br/peridal-mantecorp-10mg-30-comprimidos-1002526/p
Sigma-Clav BD 875mg + 125mg 14 Comprimidos Revestidos Sigma;290.0;14;São João;7894916206860.0;Sinvalip 20mg 30 Comprimidos Revestidos Sigma;Disponível;59,02;49,19;-16.7%;49,19;-16.7%;Medicamentos > Cardiológicos;999412.0;https://www.saojoaofarmacias.com.br/sinvalip-20mg-30-comprimidos-revestidos-sigma-999412/p
Malvatricin Spray 50ml;290.0;13;São João;7891058061562.0;Rifocina Spray  Aventis 20Ml;Disponível;44,80;44,80;-0.0%;44,80;-0.0%;Medicamentos > Alergias E Infecções > Infecção;2489.0;https://www.saojoaofarmacias.com.br/rifocina-spray--aventis-20ml-2489/p
Nesta Diário 5mg 30 Comprimidos Biosintética;290.0;12;São João;7896181922711.0;Desloratadina 5mg 10 Comprimidos Revestidos Genérico Biosintética;Disponível;65,29;26,09;-60.0%;26,09;-60.0%;Medicamentos > Alergias E Infecções > Antialérgicos;100008907.0;https://www.saojoaofarmacias.com.br/desloratadina-5mg-10-comprimidos-revestidos-generico-biosintetica-100008907/p
Cordarex 5mg 30 Comprimidos;290.0;13;São João;7896181901747.0;Cordarex 5mg 30 Comprimidos;Disponível;38,22;32,89;-13.9%;32,89;-13.9%;Medicamentos > Cardiológicos > Pressão Alta;994.0;https://www.saojoaofarmacias.com.br/cordarex-5mg-30-comprimidos-994/p
Revange 37,5+325mg 30 Comprimidos Ache (A2);290.0;15;São João;7896658000379.0;Famox 20Mg 10 Comprimidos Ache;Disponível;34,57;30,49;-11.8%;30,49;-11.8%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1005.0;https://www.saojoaofarmacias.com.br/famox-20mg-10-comprimidos-ache-1005/p
Velus Magnésio 30 Comprimidos;290.0;12;São João;7896241293669.0;Vasopril 10mg 30 Comprimidos;Disponível;39,75;29,79;-25.1%;29,79;-25.1%;Medicamentos > Cardiológicos > Pressão Alta;14483.0;https://www.saojoaofarmacias.com.br/vasopril-10mg-30-comprimidos-14483/p
Proctyl Pomada Takeda 3g com 10 Aplicadores;290.0;12;São João;7896226102351.0;Takil Creme Vaginal 35g + 7 Aplicadores Marjan Farma;Disponível;103,71;103,71;-0.0%;103,71;-0.0%;Medicamentos > Antifúngicos;999728.0;https://www.saojoaofarmacias.com.br/takil-creme-vaginal-35g---7-aplicadores-marjan-farma-999728/p
Pomada Dermatológica Novacort 30g Ache;290.0;14;São João;7891142180773.0;Quadriderm Pomada Dermatológica Mantecorp 20g;Disponível;60,39;53,19;-11.9%;53,19;-11.9%;Medicamentos > Alergias E Infecções > Corticoide;2438.0;https://www.saojoaofarmacias.com.br/quadriderm-pomada-dermatologica-mantecorp-20g-2438/p
Pomada Dermatológico Traumeel S 50g;290.0;13;São João;7898908753172.0;Pomada Dermatológico Traumeel S 50g;Disponível;93,99;75,19;-20.0%;75,19;-20.0%;Medicamentos > Analgésicos > Dor E Febre;100017974.0;https://www.saojoaofarmacias.com.br/pomada-dermatologico-traumeel-s-50g-100017974/p
Miosan ODT 5mg 10 Comprimidos Orodispersíveis Apsen;290.0;13;São João;7896637022835.0;Miosan 5Mg 30 Comprimidos Revestidos Apsen;Disponível;62,81;33,90;-46.0%;33,90;-46.0%;Medicamentos > Anti-inflamatórios;79631.0;https://www.saojoaofarmacias.com.br/miosan-5mg-30-comprimidos-revestidos-apsen-79631/p
Foraseq 12mcg+400mcg 120 Cápsulas com Inalador Sandoz;290.0;13;São João;7898906376410.0;Tiorfan 100mg 9 Cápsulas Duras;Disponível;55,60;50,89;-8.5%;50,89;-8.5%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10986.0;https://www.saojoaofarmacias.com.br/tiorfan-100mg-9-capsulas-duras-10986/p
Vonau Flash 4mg 30 Cápsulas Biolab;290.0;13;São João;7896112425328.0;Pantogar 30 cápsulas Biolab;Disponível;113,90;96,69;-15.1%;96,69;-15.1%;Medicamentos > Saúde Da Mulher;10088587.0;https://www.saojoaofarmacias.com.br/pantogar-30-capsulas-biolab-10088587/p
Vurtuoso 10mg 30 Comprimidos Lundbeck (C1);290.0;14;São João;7896658008849.0;Levoid 112mcg 30 Comprimidos Aché;Disponível;33,99;30,09;-11.5%;30,09;-11.5%;Medicamentos > Reposição Hormonal > Tireoide;10090189.0;https://www.saojoaofarmacias.com.br/levoid-112mcg-30-comprimidos-ache-10090189/p
Amplictil 25mg 20 Comprimidos Revestidos;290.0;12;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Pioglitazona 15mg 15 Comprimidos Genérico EMS;290.0;12;São João;7896004733234.0;Prednisolona Genérico EMS 20mg 10 Comprimidos;Disponível;23,36;10,90;-53.3%;10,90;-53.3%;Medicamentos > Alergias E Infecções > Corticoide;10107565.0;https://www.saojoaofarmacias.com.br/prednisolona-generico-ems-20mg-10-comprimidos-10107565/p
Acetato de Clormadinona + Etinilestradiol 21 Comprimidos Revestidos Genérico Althaia;290.0;15;São João;7891106913966.0;Diane 35 Etinilestradiol 0,035mg + Acetato De Ciproterona 2mg 21 Comprimidos Revestidos Bayer;Disponível;42,26;37,49;-11.3%;37,49;-11.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;812.0;https://www.saojoaofarmacias.com.br/diane-35-etinilestradiol-0-035mg---acetato-de-ciproterona-2mg-21-comprimidos-revestidos-bayer-812/p
Olsar H 40mg+25mg 30 Comprimidos Revestidos Momenta;290.0;15;São João;7896094210271.0;Iumi ES 3mg+0,02mg 30 Comprimidos Revestidos Libbs;Disponível;76,95;65,19;-15.3%;65,19;-15.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10000692.0;https://www.saojoaofarmacias.com.br/iumi-es-3mg-0-02mg-30-comprimidos-revestidos-libbs-10000692/p
Puran T4 25mcg 30 Comprimidos Sanofi;290.0;12;São João;7897595901033.0;Puran T4 100mcg 30 Comprimidos Sanofi;Disponível;17,16;15,69;-8.6%;15,69;-8.6%;Medicamentos > Reposição Hormonal > Tireoide;2430.0;https://www.saojoaofarmacias.com.br/puran-t4-100mcg-30-comprimidos-sanofi-2430/p
Qlaira 26 + 2 Comprimidos Revestidos;290.0;15;São João;7891317177652.0;Primera 20Mcg 63 Comprimidos Revestidos;Disponível;93,49;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10096588.0;https://www.saojoaofarmacias.com.br/primera-20mcg-63-comprimidos-revestidos-10096588/p
Ivermectina Genérico Prati 4 Comprimidos 6 mg;290.0;13;São João;7898049793310.0;Ivermectina 6mg 4 Comprimidos Genérico Vitamedic;Disponível;37,84;33,09;-12.6%;33,09;-12.6%;Medicamentos > Antiparasitários;10101998.0;https://www.saojoaofarmacias.com.br/ivermectina-6mg-4-comprimidos-generico-vitamedic-10101998/p
Inzelm 20mg 60 Comprimidos;290.0;14;São João;7896637031516.0;Inilok 40mg 60 Comprimidos;Disponível;131,36;131,36;-0.0%;131,36;-0.0%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10011854.0;https://www.saojoaofarmacias.com.br/inilok-40mg-60-comprimidos-10011854/p
Colírio Xalatan 0,005% 2,5Ml Upjohn;290.0;14;São João;7899095238299.0;Colírio Latanoprosta Genérico Geolab 2,5ml;Disponível;162,47;83,89;-48.4%;83,89;-48.4%;Medicamentos > Oftalmologia > Remédio Para Glaucoma;10023021.0;https://www.saojoaofarmacias.com.br/colirio-latanoprosta-generico-geolab-2-5ml-10023021/p
Diublok 50+12,5mg 30 Comprimidos Momenta;290.0;12;São João;7896004715032.0;Dorilen 500mg/10mg/5mg 12 Comprimidos;Disponível;21,90;20,59;-6.0%;20,59;-6.0%;Medicamentos > Analgésicos > Dor Muscular;11362.0;https://www.saojoaofarmacias.com.br/dorilen-500mg-10mg-5mg-12-comprimidos-11362/p
Isotretinoína 20mg 30 Cápsulas Genérico EMS (C2);290.0;13;São João;7896004724102.0;Isotretinoína Genérico EMS 20mg 30 Cápsulas (C2);Disponível;218,80;138,19;-36.8%;138,19;-36.8%;Medicamentos > Pele E Mucosa > Acne E Espinhas;100006059.0;https://www.saojoaofarmacias.com.br/isotretinoina-generico-ems-20mg-30-capsulas--c2--100006059/p
Celecoxibe 200mg 10 Cápsulas Genérico Eurofarma (C1);290.0;13;São João;7896004747880.0;Celecoxibe Genérico EMS 200mg 10 Cápsulas (C1);Disponível;52,64;26,99;-48.7%;26,99;-48.7%;Medicamentos > Anti-inflamatórios;10028531.0;https://www.saojoaofarmacias.com.br/celecoxibe-generico-ems-200mg-10-capsulas--c1--10028531/p
Osteotec 150mg 3 Comprimidos Revestidos Adium;290.0;12;São João;7896094928046.0;Aas Protect 100Mg 30 Comprimidos Revestidos Medley;Disponível;22,99;20,99;-8.7%;20,99;-8.7%;Medicamentos > Sistema Circulatório > Anticoagulante;10089066.0;https://www.saojoaofarmacias.com.br/aas-protect-100mg-30-comprimidos-revestidos-medley-10089066/p
Preni 5mg 20 Comprimidos Eurofarma;290.0;12;São João;7891317129781.0;Tada Diario 5mg 30 Comprimidos Eurofarma;Disponível;249,06;199,89;-19.7%;199,89;-19.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100011319.0;https://www.saojoaofarmacias.com.br/tada-diario-5mg-30-comprimidos-eurofarma-100011319/p
Optocare UL Solução Oftálmica 10ml;290.0;12;São João;7896548197554.0;Vigadexa Solução Oftálmica 5ml;Disponível;52,63;46,79;-11.1%;46,79;-11.1%;Medicamentos > Oftalmologia > Colírios;10093153.0;https://www.saojoaofarmacias.com.br/vigadexa-solucao-oftalmica-5ml-10093153/p
Xarope Vick 200mg/12,5ml Mel 100ml;290.0;14;São João;7896637022576.0;Xarope Retemic 1mg 120ml;Disponível;59,43;50,99;-14.2%;50,99;-14.2%;Medicamentos > Saúde Da Mulher > Ginecológicos;4993.0;https://www.saojoaofarmacias.com.br/xarope-retemic-1mg-120ml-4993/p
Oseltamivir 45mg 10 Cápsulas Genérico Natcofarma;290.0;14;São João;7896112121145.0;Tramadol 50mg 10 Cápsulas Genérico Teuto (A2);Disponível;37,51;19,90;-46.9%;19,90;-46.9%;Medicamentos > Analgésicos;10092355.0;https://www.saojoaofarmacias.com.br/tramadol-50mg-10-capsulas-generico-teuto--a2--10092355/p
Eparema Flaconete Laranja 10ml;290.0;14;São João;7896732600433.0;Olina Flaconete 15ml;Disponível;6,99;4,49;-35.8%;4,49;-35.8%;Medicamentos > Fitoterápicos;10104405.0;https://www.saojoaofarmacias.com.br/olina-flaconete-15ml-10104405/p
Fexofenadina 120mg 10 Comprimidos Genérico Ranbaxy;290.0;13;São João;7897076910950.0;Fexofenadina Genérico Ranbaxy 120mg 10 Comprimidos;Disponível;57,70;24,39;-57.7%;24,39;-57.7%;Medicamentos > Alergias E Infecções > Antialérgicos;1000796.0;https://www.saojoaofarmacias.com.br/fexofenadina-generico-ranbaxy-120mg-10-comprimidos-1000796/p
Apresolina 50mg 20 Drágeas Novartis;290.0;12;São João;7891268100501.0;Aromasin 25mg 30 drágeas Wyeth;Disponível;1555,40;726,99;-53.3%;726,99;-53.3%;Medicamentos > Medicamentos Especiais > Oncologia;10087117.0;https://www.saojoaofarmacias.com.br/aromasin-25mg-30-drageas-wyeth-10087117/p
Gliclazida 30mg 30 Comprimidos Genérico EMS;290.0;13;São João;7896004711232.0;Glimepirida Genérico EMS 4mg 30 Comprimidos;Disponível;70,44;20,89;-70.3%;20,89;-70.3%;Medicamentos > Diabetes;10099380.0;https://www.saojoaofarmacias.com.br/glimepirida-generico-ems-4mg-30-comprimidos-10099380/p
Arnica do Mato Gel Creme 65g Via Botanica;290.0;13;São João;7896422504478.0;Neomicina + Bacitracina Creme 50g Genérico Medley;Disponível;33,85;22,90;-32.3%;22,90;-32.3%;Medicamentos > Pele E Mucosa;97156.0;https://www.saojoaofarmacias.com.br/neomicina---bacitracina-creme-50g-generico-medley-97156/p
Monax 0,5mcg Spray Nasal 120 doses;289.0;14;São João;7896015518875.0;Avamys Spray Nasal 120 Doses;Disponível;74,30;74,30;-0.0%;74,30;-0.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10096528.0;https://www.saojoaofarmacias.com.br/avamys-spray-nasal-120-doses-10096528/p
Alergomine 120ml Cimed;289.0;12;São João;7896714273006.0;Massageol Aerossol 120ml;Disponível;31,90;31,90;-0.0%;31,90;-0.0%;Medicamentos > Anti-inflamatórios;11802.0;https://www.saojoaofarmacias.com.br/massageol-aerossol-120ml-11802/p
Pomada Dermatológica Tarfic 30g;289.0;13;São João;7896637025362.0;Pomada Dermatológica Postec  20g;Disponível;148,92;124,69;-16.3%;124,69;-16.3%;Medicamentos > Alergias E Infecções > Corticoide;10095813.0;https://www.saojoaofarmacias.com.br/pomada-dermatologica-postec--20g-10095813/p
Primera 30 0,150mg/0,030mg 21 Comprimidos;289.0;12;São João;7891317177645.0;Primera 20 0,150mg/0,020mg 21 Comprimidos;Disponível;44,50;38,49;-13.5%;38,49;-13.5%;Medicamentos > Saúde Da Mulher > Anticoncepcional;7954.0;https://www.saojoaofarmacias.com.br/primera-20-0-150mg-0-020mg-21-comprimidos-7954/p
Enterogermina Probiótico Plus Crianças e Adultos 5ml 10 Frascos;289.0;14;São João;7891058020286.0;Probiótico Enterogermina Plus 5 frascos de 5ml;Disponível;49,00;39,99;-18.4%;39,99;-18.4%;Medicamentos > Estômago E Gastrointestinais > Diarreia;100014838.0;https://www.saojoaofarmacias.com.br/probiotico-enterogermina-plus-5-frascos-de-5ml-100014838/p
Lotar 5+50mg 30 Cápsulas Biosintética;289.0;14;São João;7896112492740.0;Triazol Biolab 150mg 1 Cápsula;Disponível;38,17;33,99;-11.0%;33,99;-11.0%;Medicamentos > Antifúngicos > Micose;2815.0;https://www.saojoaofarmacias.com.br/triazol-biolab-150mg-1-capsula-2815/p
Rinidon 50ml Weleda;289.0;13;São João;7896637023641.0;Meclin 50mg 15 Comprimidos;Disponível;52,76;46,49;-11.9%;46,49;-11.9%;Medicamentos > Pele E Mucosa > Acne E Espinhas;1006299.0;https://www.saojoaofarmacias.com.br/meclin-50mg-15-comprimidos-1006299/p
Duoflam Injetável 12 Ampolas 1ml Supera;289.0;12;São João;7908020507017.0;Testosterona 200mg/2ml Solução Injetável 3 Ampolas Genérico Cifarma (C5);Disponível;179,89;124,29;-30.9%;124,29;-30.9%;Medicamentos > Reposição Hormonal;10044056.0;https://www.saojoaofarmacias.com.br/testosterona-200mg-2ml-solucao-injetavel-3-ampolas-generico-cifarma--c5--10044056/p
Estomazil 5g 6 Envelopes Efervescentes Sem Sabor Hypera Pharma;289.0;12;São João;7896094914414.0;Antiácido Estomazil Pó Efervescente Sem Sabor 5g Hypera Pharma;Disponível;3,43;2,89;-15.7%;2,89;-15.7%;Medicamentos > Estômago E Gastrointestinais > Dor No Estômago;100012081.0;https://www.saojoaofarmacias.com.br/antiacido-estomazil-po-efervescente-sem-sabor-5g-hypera-pharma-100012081/p
Tepev 500mg 100 Cápsulas EMS;289.0;12;São João;7896658024887.0;Dastene 0,5mg 30 Cápsulas Moles;Disponível;128,97;104,79;-18.7%;104,79;-18.7%;Medicamentos > Saúde Do Homem > Próstata;100013071.0;https://www.saojoaofarmacias.com.br/dastene-0-5mg-30-capsulas-moles-100013071/p
Etoxin 50mg 120ml Apsen (C1);289.0;12;São João;7896658009532.0;Prelone 3mg 120ml Aché;Disponível;57,73;53,39;-7.5%;53,39;-7.5%;Medicamentos > Alergias E Infecções > Corticoide;14375.0;https://www.saojoaofarmacias.com.br/prelone-3mg-120ml-ache-14375/p
Atelop 2,5mg 60 Comprimidos Germed;289.0;14;São João;7896004705781.0;Atenolol Genérico EMS 25mg 30 Comprimidos;Disponível;23,72;2,49;-89.5%;2,49;-89.5%;Medicamentos > Cardiológicos > Pressão Alta;1002783.0;https://www.saojoaofarmacias.com.br/atenolol-generico-ems-25mg-30-comprimidos-1002783/p
Nexium 20Mg 28 Comprimidos Revestidos Astrazeneca;289.0;12;São João;7896016807251.0;Onglyza 5mg 28 Comprimidos Revestidos AstraZeneca;Disponível;177,06;141,65;-20.0%;141,65;-20.0%;Medicamentos > Diabetes;10099771.0;https://www.saojoaofarmacias.com.br/onglyza-5mg-28-comprimidos-revestidos-astrazeneca-10099771/p
Claritin 10mg 12 Comprimidos;289.0;13;São João;7898040321512.0;Annita 500mg 6 Comprimidos FQM;Disponível;79,37;68,19;-14.1%;68,19;-14.1%;Medicamentos > Antiparasitários;10087926.0;https://www.saojoaofarmacias.com.br/annita-500mg-6-comprimidos-fqm-10087926/p
Mobility Oscal D Opella 500mg + 1000UI 60 Comprimidos Revestidos;289.0;14;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Triplixam 5mg/1,25mg/5mg 30 Comprimidos Revestidos;289.0;14;São João;7897460401422.0;Silimalon 100mg/70mg 30 Comprimidos Revestidos;Disponível;80,87;80,87;-0.0%;80,87;-0.0%;Medicamentos > Estômago E Gastrointestinais > Azia E Refluxo;100022477.0;https://www.saojoaofarmacias.com.br/silimalon-100mg-70mg-30-comprimidos-revestidos-100022477/p
Nimesulida 12 Comprimidos Dispersíveis Genérico Cifarma;289.0;12;São João;7896523212685.0;Nimesulida 100mg Genérico Cimed 12 Comprimidos;Disponível;25,22;5,69;-77.4%;5,69;-77.4%;Medicamentos > Anti-inflamatórios;100018675.0;https://www.saojoaofarmacias.com.br/nimesulida-100mg-generico-cimed-12-comprimidos-100018675/p
Propomax Kids 30ml Própolis Tutti Frutti Apis Flora;289.0;14;;;;;;;;;;;;
Beneflora 6 Envelopes;289.0;13;São João;7896094922013.0;Albocresil 6 Óvulos Hypera;Disponível;26,78;26,78;-0.0%;26,78;-0.0%;Medicamentos > Saúde Da Mulher > Ginecológicos;7012.0;https://www.saojoaofarmacias.com.br/albocresil-6-ovulos-hypera-7012/p
Artroflan 150mg 40 Comprimidos Revestidos Mantecorp;289.0;12;São João;7894916372855.0;Anastrozol Genérico EMS 1mg 30 Comprimidos Revestidos;Disponível;1015,82;49,90;-95.1%;49,90;-95.1%;Medicamentos > Medicamentos Especiais > Oncologia;10001159.0;https://www.saojoaofarmacias.com.br/anastrozol-generico-ems-1mg-30-comprimidos-revestidos-10001159/p
Salonpas Gel 20g;289.0;14;São João;5702191025637.0;Azelan 30g Gel Leofarma;Disponível;83,36;75,39;-9.6%;75,39;-9.6%;Medicamentos > Pele E Mucosa > Acne E Espinhas;100000774.0;https://www.saojoaofarmacias.com.br/azelan-30g-gel-leofarma-100000774/p
Diprosone Creme 30g Mantecorp;289.0;12;São João;7891142180766.0;Quadriderm Creme Dermatológico Mantecorp 20g;Disponível;60,19;52,99;-12.0%;52,99;-12.0%;Medicamentos > Alergias E Infecções > Corticoide;2439.0;https://www.saojoaofarmacias.com.br/quadriderm-creme-dermatologico-mantecorp-20g-2439/p
Lactosil 10000 FCC 30Saches Apsen;289.0;16;São João;7896637032247.0;Lactosil Flora 30 Cápsulas Apsen;Disponível;126,90;86,90;-31.5%;86,90;-31.5%;Medicamentos > Estômago E Gastrointestinais > Enzima Lactase;10023805.0;https://www.saojoaofarmacias.com.br/lactosil-flora-30-capsulas-apsen-10023805/p
Vivencia Patch 15cm 27mg 13,3mg 30 Adesivos Aché (C1);289.0;13;;;;;;;;;;;;
Neomicina + Bacitracina Pomada Genérico Medley 15g;289.0;13;São João;7896422504454.0;Neomicina + Bacitracina Pomada 15g Genérico Medley;Disponível;15,71;11,99;-23.7%;11,99;-23.7%;Medicamentos > Pele E Mucosa;999653.0;https://www.saojoaofarmacias.com.br/neomicina---bacitracina-pomada-15g-generico-medley-999653/p
Fibra Alimentar Fibernorm 225g;289.0;13;;;;;;;;;;;;
Secnidazol 1000mg 4 Comprimidos Genérico Pharlab;289.0;13;São João;7898216360741.0;Secnidazol 1000mg 4 Comprimidos Genérico Pharlab;Disponível;40,95;24,90;-39.2%;24,90;-39.2%;Medicamentos > Antiparasitários;10036088.0;https://www.saojoaofarmacias.com.br/secnidazol-1000mg-4-comprimidos-generico-pharlab-10036088/p
Levotiroxina Sódica 88mcg Genérico Merck 30 Comprimidos;289.0;12;São João;7891721202810.0;Levotiroxina Sódica Genérico Merck 50mcg 30 Comprimidos;Disponível;13,02;13,02;-0.0%;13,02;-0.0%;Medicamentos > Reposição Hormonal > Tireoide;10098007.0;https://www.saojoaofarmacias.com.br/levotiroxina-sodica-generico-merck-50mcg-30-comprimidos-10098007/p
Neosaldina Avulso 10 Drágeas;289.0;12;São João;7896732601300.0;Hepalina Avulso 10ml Flaconete;Disponível;2,40;2,40;-0.0%;2,40;-0.0%;Medicamentos > Estômago E Gastrointestinais;100020632.0;https://www.saojoaofarmacias.com.br/hepalina-avulso-10ml-flaconete-100020632/p
Alpes Xl 300mg 30 Comprimidos Supera (C1);289.0;13;São João;7898074614857.0;Ursacol 50mg 30 Comprimidos;Disponível;66,32;59,49;-10.3%;59,49;-10.3%;Medicamentos > Estômago E Gastrointestinais > Dor No Fígado;100012631.0;https://www.saojoaofarmacias.com.br/ursacol-50mg-30-comprimidos-100012631/p
